WBS element,Name,Company code,Profit center (BU),Revenue Type,Direct/Ind./Interco,Countries (End Client),Sales Rep
HRPC*GROUPEX_WFS_STAFF,HRP_CANADA W/ GROUPEX WFS STAFF,F037,Workforce,,,,
HRPC*GROUPEX_SCOTIABANK,HRP_CANADA W/ GROUPEX SCOTIABANK SUPPORT,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
HRP_CANADA*HRPWD_FR,AVENUE HR WORK HRPWD_FR,F037,Workday,,,,
HRP_CAN*HRPWDFR_MSF,HRP CANADA w/ HRPWDFR_MSF,F037,Workday,,,,
HRP_CAN*HRPWDFR_MDM,HRP CANADA w/ HRPWDFR_Maison du Monde,F037,Workday,,,,
HRPC*HRPWD_SPHEROS_SUP,HRP CANADA w/ HRPWDFR SUPPORT SERVICES,F037,Workday,,,,
HRPC*HRPWDFR_SATEBA,HRP CANADA w/ HRPWDFR SATEBA,F037,Workday,,,,
HRPC*WD_MONNOYEUR_WAVE3,HRP CANADA w/ WDFR MONNOYEUR WAVE3,F037,Workday,,,,
HRPC*WD_MONNOYEUR_REGIE,HRP CANADA w/ HRP WD MONNOYEUR REGIE,F037,Workday,Project,Intercos Outside NA,EUROPE,Fredo
HRPC*GAIUS_DE_D&B,HRP_CANADA W/ GAIUS DE D&B,F037,SAP/SF CA,,,,
HRP_CANADA*IN_RGY,HRP_CANADA W/ IN_RGY,F037,SAP/SF CA,,,,
F037*F095*MAM*AMS SAP,F037*F095*MAM*AMS SAP,F037,SAP/SF CA,AMS,Intercos North America,Canada,Fredo
F037*F095*VON*AMS SAP,F037*F095*VON*AMS SAP,F037,SAP/SF CA,AMS,Intercos North America,Canada,Fredo
F037*F097*CHK*AMS SF,F037*F097*CHK*AMS SF,F037,SAP/SF CA,,Intercos North America,,
F037*F097*CHK*ONB 20,F037*F097*CHK*ONB 20,F037,SAP/SF CA,,Intercos North America,,
F037*F095*CDS*AMS SF,F037*F095*CDS*AMS SF,F037,SAP/SF CA,AMS,Intercos North America,Canada,Fredo
F037*F095*COL NEWLEGAL,F037*F095*COL newlegal,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
HRPC*INRGY_ENERFLEX,HRP_CANADA W/ IN_RGY ENERFLEX,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
F037*F095*VID*SF,F037*F095*VID*SF,F037,SAP/SF CA,,Intercos North America,,
F037*F095*GDS*EC/P MX,F037*F095*GDS*EC/P MX,F037,SAP/SF CA,,Intercos North America,,
HRPC*INRGY_CASCADES,HRP_CANADA W/ IN_RGY CASCADES,F037,SAP/SF CA,,,,
HRPC*INRGY_TEC,HRP_CANADA W/ IN_RGY TEC,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
HRPC*INRGY*DOLLARCITY,HRPC*INRGY*DOLLARCITY,F037,SAP/SF CA,,Intercos North America,,
HRPC*INRGY*MARINE_ATL,HRPC*INRGY*MARINE_ATL,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
HRPC*INRGY*SIMPLOT,HRPC*INRGY*SIMPLOT,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
HRPC*INRGY*VILLE_LAVAL,HRPC*INRGY*VILLE_LAVAL,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
HRPC*INRGY*FREEDOM,HRPC*INRGY*FREEDOM,F037,SAP/SF CA,,Intercos North America,,
HRPC*INRGY*VTR*TIRH P1,HRPC*INRGY*VTR*TIRH P1 SAPSF,F037,SAP/SF CA,Project,Intercos North America,Canada,Patrice B.
HRPC*INRGY*CALIAN,HRPC*INRGY*Calian,F037,SAP/SF CA,,,,
HRPC*INRGY*DOLLARAMA,HRPC*INRGY Dollarama,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
F037*F095*ESFOX,F037*F095*ESFOX,F037,SAP/SF CA,Project,Intercos North America,Canada,
F037*F095*METRO SF,F037*F095*METRO SF,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
F037*F095*VIARAIL,F037*F095*VIARAIL,F037,SAP/SF CA,,Intercos North America,,
F037*F095*MET*DOCEBOLMS,F037*F095*MET*DoceboLMS,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
F037*F095*PROCESHARMO_NB,F037*F095*PROCESS HARMONIZATION NB,F037,SAP/SF CA,,Intercos North America,,
F037*F095*VON*PENSION,F037*F095*VON*Pension,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
F037*F095*CDS2*AMS S4,F037*F095*CDS2*AMS S4,F037,SAP/SF CA,AMS,Intercos North America,Canada,Fredo
F037*F095*DOLCITYLSVGA,F037*F095*Dollar City LSVGA,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
F037*F095*CLC*AMS SF,F037*F095*CLC*AMS SF,F037,SAP/SF CA,,Intercos North America,,
F037*F095*CAS*SFONB 20,F037*F095*CAS*SFONB 20,F037,SAP/SF CA,Project,Intercos North America,Canada,Fredo
HRPC*WD_WENDEL_TMA,HRP CANADA w/ HRP WD WENDEL TMA,F037,Workday,Project,Intercos Outside NA,EUROPE,Fredo
HRPC*WDFR*KYRIBA_OE,HRPC*WDFR*KYRIBA_OE,F037,Workday,Project,Intercos Outside NA,EUROPE,Fredo
HRPC*TIG_NETJETS_WORK,HRPC*TIG_NETJETS_WORK,F037,SAP/SF CA,Project,Intercos North America,USA,Fredo
HRPC*TIG*COMMSCOPE_ONB20,HRPC*TIG*COMMSCOPE_ONB20,F037,SAP/SF CA,Project,Intercos North America,USA,Fredo
F037*F086*CORNING*SOW2,HRPC w GroupeX Corning SOW2,F037,SAP/SF CA,,Intercos North America,,
F037*F086*ARA*US-WAVE1,Aramark:Aramark US Wave 1 WFS SOW 1,F037,SAP/SF CA,,Intercos North America,,
F037*F086*MIDDLESEX,UKG Kronos Systems (USD):Middlesex Count,F037,SAP/SF CA,,Intercos North America,,
F037*F086*COR*UKG*BUCK,Corning:Corning UKG Buckeye,F037,UKG,,Intercos North America,,
F043*F037*VIARAIL WRONG,F043*F037*VIARAIL wrong,F037,SAP/SF CA,,Intercos North America,,
MELOCHE*AMS WD ADMIN,MELOCHE*AMS WD ADMIN,F037,Workday,AMS,Direct customer,Canada,Fredo
F037*F086*ARAMARK*US_W1,F037*F086*Aramark*US_W1,F037,SAP/SF CA,,Intercos North America,,
F037*F086*ARAMARK*GER S1,F037*F086*Aramark*GER S1,F037,SAP/SF CA,,Intercos North America,,
F037*F086*DUQUESNE*AMS 3,F037*F086*Duquesne*AMS 3,F037,SAP/SF CA,,Intercos North America,,
F037*F086*PHOENIXBASINS1,F037*F086*PhoenixBasinS1,F037,SAP/SF CA,,Intercos North America,,
F037*F086*PHNIX*HECO LOI,F037*F086*Phnix*HECO LOI,F037,SAP/SF CA,,Intercos North America,,
F037*F086*CORNING*BUCKEY,F037*F086*Corning*Buckey,F037,SAP/SF CA,,Intercos North America,,
F037*F086*CORNING*SOLAR,F037*F086*Corning*SOLAR,F037,SAP/SF CA,,Intercos North America,,
F037*F086*CORNING*UKG S2,F037*F086*Corning*UKG S2,F037,UKG,,Intercos North America,,
F037*F086*ASRC*WFS_SOW 3,F037*F086*ASRC*WFS_SOW 3,F037,Workforce,,Intercos North America,,
F037*F086*BEMIS*BIO S6,F037*F086*Bemis*Bio S6,F037,Workforce,Staff Aug.,Intercos North America,Canada,Fredo
F037*F086*MSG*AMS_S22,F037*F086*MSG*AMS_S22,F037,Workforce,Staff Aug.,Intercos North America,Canada,Fredo
F037*F086*UKG US*MIDDLSX,F037*F086*UKG US*MIDDLSX,F037,UKG,,Intercos North America,,
F037*F018*YOKOGAWA,F037*F018*YOKOGAWA,F037,SAP/SF CA,,Intercos Outside NA,,
F037*F086*ARA*EUR_SOW1,F037*F086*Ara*EUR_SOW1,F037,SAP/SF CA,,Intercos North America,,
F037*F113*SAVE*A*LOT*P,F037*F113*SAVE*a*LOT*P,F037,Dayforce,Dayforce,Intercos North America,USA,Fredo
F037*F113*PUYALLUP*IMP*S,F037*F113*PUYALLUP*IMP*S,F037,SAP/SF CA,,Intercos Outside NA,,
F037*F113*PLANET9*WFM*P,F037*F113*PLANET9*WFM*P,F037,SAP/SF CA,,Intercos Outside NA,,
F037*F113*PLANET9_OE_SUP,F037*F113*PLANET9_OE_SUP,F037,SAP/SF CA,,Intercos Outside NA,,
F037*F113*MISSION*VP*DAY,F037*F113*Mission*VP*DAY,F037,SAP/SF CA,,Intercos Outside NA,,
F037*F113*HILL*SMITH*S,F037*F113*HILL*SMITH*S,F037,SAP/SF CA,,Intercos Outside NA,,
F037*F113*GRANITE*YMCA*P,F037*F113*GRANITE*YMCA*P,F037,Dayforce,Dayforce,Intercos North America,USA,Fredo
F037*F113*FRANKLIN*IMP*S,F037*F113*FRANKLIN*IMP*S,F037,SAP/SF CA,,Intercos Outside NA,,
F037*F113*FOOD4LES*IMP*S,F037*F113*FOOD4LES*IMP*S,F037,SAP/SF CA,,Intercos Outside NA,,
F037*F113*EMPOWR*FCU*OPT,F037*F113*EMPOWR*FCU*OPT,F037,SAP/SF CA,,Intercos Outside NA,,
F037*F113*CRAFTYAPES*SUP,F037*F113*CRAFTYAPES*SUP,F037,Dayforce,Dayforce,Intercos North America,USA,Fredo
F037*F113*CCP*IMP*S,F037*F113*CCP*IMP*S,F037,Dayforce,Dayforce,Intercos North America,USA,Fredo
F086*VW*WFS_AMS_25-26,F086*VW*WFS_AMS_25-26,F037,Workforce,,Intercos North America,,
HRPC*MEX_QUANTUM_ENE_AMS,HRPC*MEX_QUANTUM_ENE_AMS,F037,SAP/SF CA,,,,
HRPC*MEX_ADMIN_AMS_NB,HRPC*MEX_ADMIN_AMS_NB,F037,SAP/SF CA,,,,
F037*F086*ARK_EUR_SOW1,Aramark Europe WFS SOW 1,F037,SAP/SF CA,,Intercos North America,,
F037*F086*ARK*GER_SOW1,Aramark Global/Germany WFS SOW 1,F037,Workforce,Staff Aug.,Intercos North America,Canada,Fredo
F037*F086*ARK*US_WAVE1,Aramark US Wave 1 WFS SOW 1,F037,Workforce,Staff Aug.,Intercos North America,Canada,Fredo
F037*F086*AES_SOW3,ASRC Energy Services:Alaska WFS AMS SOW,F037,SAP/SF CA,,Intercos North America,,
F037*F086*BEM_SOW6,Bemis Manufacturing Company:Bemis WFS SO,F037,SAP/SF CA,,Intercos North America,,
F037*F086*CRN*UKG_BUCK,Corning UKG Buckeye,F037,UKG,Staff Aug.,Intercos North America,Canada,Fredo
F037*F086*CRN_SOLAR,Corning UKG Solar,F037,SAP/SF CA,,Intercos North America,,
F037*F086*CRN_SOW2,Corning UKG SOW 2,F037,SAP/SF CA,,Intercos North America,,
F037*F086*DUQ*AMS_SOW3,Duquesne Light Company:DLC WFS AMS - SOW,F037,Workforce,Staff Aug.,Intercos North America,Canada,Fredo
F037*F086*MSG_AMS22,Madison Square Gardens:MSG WFS SOW 22 AM,F037,SAP/SF CA,,Intercos North America,,
F037*F086*BASIN_SOW1,Phoenix Business Consulting:Basin (Phoen,F037,SAP/SF CA,,Intercos North America,,
F037*F086*HECO_WFSLOI,Phoenix Business Consulting:Phoenix HECO,F037,Workforce,,Intercos North America,,
F037*F086*MDX_COUNTY,UKG Kronos Systems (USD):Middlesex Count,F037,Workforce,Staff Aug.,Intercos North America,Canada,Fredo
F037*F095* DOL*AMS SF Y2,F037*F095* DOL*AMS SF Y2,F037,SAP/SF CA,,Intercos North America,,
F037*F097*SOT*AMS SFY2,F037*F097*SOT*AMS SFY2,F037,SAP/SF CA,,Intercos North America,,
F037*F086*GCC_SOW1,F037*F086*GCC_SOW1,F037,SAP/SF CA,,Intercos North America,,
F037*F086*VWAMS2526,F037*F086*VWAMS2526,F037,Workforce,Staff Aug.,Intercos North America,Canada,Fredo
F037*F055*SIMPLOT*AMS SF,F037*F055*Simplot*AMS SF,F037,SAP/SF CA,,Intercos North America,,
F037*F055*CHECKERS*AMS,F037*F055*Checkers*AMS,F037,SAP/SF CA,,Intercos North America,,
F037*F086*BAKER *WFS_AMS,F037*F086*Baker *WFS_AMS,F037,Workforce,,Intercos North America,,
F037*F086*UKG US*SOUTHB,F037*F086*UKG US*SOUTHB,F037,UKG,,Intercos North America,,
F037*F086*UKGUS*LISTOWEL,F037*F086*UKGUS*LISTOWEL,F037,UKG,,Intercos North America,,
F037*F095*METRO*AMS SF,F037*F095*METRO*AMS SF,F037,SAP/SF CA,,Intercos North America,,
F037*F095*AEM*SF INPASS,F037*F095*AEM*SF INPASS,F037,SAP/SF CA,,Intercos North America,,
F037*F055*AGWEST*AMS SF,F037*F055*AGWEST*AMS SF,F037,SAP/SF CA,,Intercos North America,,
F037*F095*PUR*AMS SF,F037*F095*PUR*AMS SF,F037,SAP/SF CA,,Intercos North America,,
F037*F086*ARAMARK*US_W2,F037*F086*Aramark*US_W2,F037,SAP/SF CA,,Intercos North America,,
F037*F095*VTR*TIRH SAPSF,F037*F095*VTR*TIRH SAPSF,F037,SAP/SF CA,Project,Intercos North America,Canada,Patrice B.
F037*F086*UKGUS*FRIESENS,F037*F086*UKGUS*FRIESENS,F037,UKG,,Intercos North America,,
F037*F055*HAWORTH*WFS,F037*F055*Haworth*WFS,F037,Workforce,,Intercos North America,,
F037*F095*MAM*INPASS,F037*F095*MAM*INPASS,F037,SAP/SF CA,,Intercos North America,,
HRPC*FGI*AGILE_ROBOTS,HRPC*FGI*AGILE_ROBOTS,F037,SAP/SF CA,,,,
F037*F095*EXFO*AMS SF,F037*F095*EXFO*AMS SF,F037,SAP/SF CA,,Intercos North America,,
F037*F086*ARA*WFS AMS,F037*F086*ARA*WFS AMS,F037,Workforce,,Intercos North America,,
F037*F086*ARA*CAD MX SOW,F037*F086*ARA*CAD MX SOW,F037,SAP/SF CA,,Intercos North America,,
F037*F095*VID*FMO SF AMS,F037*F095*VID*FMO SF AMS,F037,SAP/SF CA,,Intercos North America,,
F079*F086*UKG*DETROIT,F079*F086*UKG*Detroit,F079,TIG,Staff Aug.,Intercos North America,USA,
F079*F086*UKG*METRO,F079*F086*UKG*Metro,F079,TIG,Staff Aug.,Intercos North America,USA,
F079*F086*UKG_METROWFD,UKG Kronos Systems (USD):METRO SUPPLY CH,F079,TIG,Staff Aug.,Intercos North America,USA,
F079*F095*VID*SF,F079*F095*VID*SF,F079,TIG,Staff Aug.,Intercos North America,USA,
FAREVA*EXA_LMS_PROJECT,EXASERV FAREVA LMS PROJECT,F055,SAP/SF US,,,,
FAREVA*EXA_SUPPORT,EXASERV FAREVA SUPPORT,F055,SAP/SF US,,,,
FED_HOME*AMS,FED HOME : FHLBA001 - AMS,F055,SAP/SF US,,,,
FED_HOME*ONB-RCM,FED HOME : FHLB200 - ONB / RCM,F055,SAP/SF US,,,,
FTI*COMPT_PROJECT,FTI : FTI101 - Compensation Project,F055,SAP/SF US,,,,
FTI*SUPPORT,FTI : FTI100 - Support,F055,SAP/SF US,Project,Direct customer,USA,0
FUELCELL*AMS,FUEL CELL AMS,F055,SAP/SF US,AMS,Direct customer,USA,0
FUELCELL*EXA_ONBOARDING,TIG EXASERV FUELCELL ONBOARDING PRO,F079,TIG,Staff Aug.,,USA,
FUELCELL*EXASERV_SUPPORT,TIG EXASERV FUELCELL AMS,F079,TIG,AMS,Intercos North America,USA,0
IAS*HRPC*IMPLEM,HRP CANADA IAS IMPLEMENTATION,F037,SAP/SF CA,,,,
ICIMS*DEPLOIEMENTS,INTALENT ICIMS DEPLOIEMENTS,F057,Other (Intalent),,,,
ICIMS*WD_INTEG,INTALENT ICIMS WD INTEGRATION,F057,Workday,,,,
IESO*AMES,HRPC IESO AMS,F037,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
IESO*ADMIN_AMES,HRPC IESO ADMIN AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
IESO*POSITION_MANAGEMENT,HRPC IESO*POSITION_MANAGEMENT,F037,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
IESO*HRPC_ONB2_PROJECT,IESO*HRPC_ONB2_PROJECT,F037,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
IESO*TIH_PROJECT,IESO*TIH_PROJECT,F037,SAP/SF CA,AMS,Direct customer,Canada,Dan Whitmarsh
FUELCELL*INTEGRATION_PRO,FUEL CELL INTEGRATION PROJECT,F055,SAP/SF US,,,,
IMP*SOW1,HRPC IMP SOW 1,F037,SAP/SF CA,,,,
IMP*SOW2,HRPC IMP SOW 2,F037,SAP/SF CA,,,,
IMP*LIC_SF,HRPC IMP LICENCE SAP,F037,SAP/SF CA,Licence,Direct customer,Canada,Fredo
IMP*HRPC*SOW2_EXTENSION,HRPC IMP SOW 2 EXTENSION,F037,SAP/SF CA,,,,
IMP*HRPC*SOW1_EXTENSION,HRPC IMP SOW 1 EXTENSION,F037,SAP/SF CA,,,,
IMPAEROSPACE*HRPC*AMES,HRPC IMPAEROSPACE AMES,F037,SAP/SF CA,AMS,,,
IMPGROUP*HRPC*AMES,HRPC IMPGROUP AMES,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
IMPGROUP*HRPC*ADMIN_AMES,HRPC IMPGROUP ADMIN AMES,F037,SAP/SF CA,AMS,,,
AFC*AMS SF,AFC*AMS SF,F097,SAP/SF CA,AMS,Direct customer,USA,Mathieu
AFC*AMS SF INPASS,AFC*AMS SF INPASS,F097,SAP/SF CA,AMS,Direct customer,USA,Mathieu
AHS*AMS SF CAP 23-26 USA,AHS*AMS SF CAP 23-26 USA,F097,SAP/SF CA,AMS,Direct customer,USA,Mathieu
CHK*AMS SF,CHK*AMS SF,F097,SAP/SF CA,AMS,Direct customer,USA,Elisabeth 2%
CHK*AMS SF INPASS,CHK*AMS SF INPASS,F097,SAP/SF CA,AMS,Direct customer,USA,Elisabeth 2%
SHB*WFR INTEGR. ARKEMA,SHB*WFR integr. Arkema,F097,UKG,Project,Indirect (Partners),USA,Mathieu
SHB*WFC INTEGR. BAXTER,SHB*WFC integr. Baxter,F097,SAP/SF CA,,,,
SOT*AMS SF,SOT*AMS SF,F097,SAP/SF CA,,,,
SOT*AMS SF INPASS,SOT*AMS SF INPASS,F097,SAP/SF CA,AMS,Direct customer,USA,Elisabeth
ALT*AMS_SF,ALT*AMS SF,F097,SAP/SF CA,AMS,Direct customer,USA,Mathieu
ALT*AMS*SF_INPASS,ALT*AMS*SF_INPASS,F097,SAP/SF CA,,,,
IN-RGYUSA_PROJECT,IN-RGYUSA*PROJECT,F097,SAP/SF CA,,,,
CHECKERS*ONB20,CHECKERS*ONB 20,F097,SAP/SF US,,,,
F097*F095*CLC*AMS SF,F097*F095*CLC*AMS SF,F097,SAP/SF CA,,Intercos North America,,
F097*F095*EXF*AMS SF,F097*F095*EXF*AMS SF,F097,SAP/SF CA,,Intercos North America,,
F097*F095*CCC*COO SF SUP,F097*F095*CCC*COO SF Support,F097,SAP/SF CA,,Intercos North America,,
F097*F095*ENU*AMS SF,F097*F095*ENU*AMS SF,F097,SAP/SF CA,,Intercos North America,,
F097*F095*PBL*RCM,F097*F095*PBL*RCM,F097,SAP/SF CA,Project,Intercos North America,Canada,Patrice B. 2%
F097*F095*BCT*AMS SF Y24,F097*F095*BCT*AMS SF Y24,F097,SAP/SF CA,AMS,Intercos North America,Canada,Patrice B.
F097*F095*DLT*MAT AMS SF,F097*F095*DLT*MAT AMS SAPSF,F097,SAP/SF CA,,Intercos North America,,
INFRASTRUC*ON_AMES,Infrastructure Ontario,F037,SAP/SF CA,AMS,Direct customer,Canada,Fredo
INFRASTRUC*ON_AMES_ADMIN,Infrastructure Ontario AMES ADMIN,F037,SAP/SF CA,AMS,,,
INFRAONT*PROJECT,HRPC InfraOnt*Project,F037,SAP/SF CA,,,,
FUELCELL*NUBO_PROJECT,FUEL CELL NUBO PROJECT,F055,SAP/SF US,,,,
INNOTECH*HRPC*AMES,HRPC INNOTECH AMES,F037,SAP/SF CA,AMS,,,
INRGY*PITCH_BLACK_PROJ,INRGY PITCH BLACK PROJECT,F095,SAP/SF CA,,,,
INRGY-GL*BENCH,IN-RGY GLOBAL BENCH (NON-BILLABLE),F094,Admin,,,,
INRGY-GL*MANAGEMENT,IN-RGY GLOBAL MANAGEMENT (NON-BILLABLE),F094,Admin,,,,
INRGY-GL*MEETING,IN-RGY GLOBAL MEETING (NON-BILLABLE),F094,Admin,,,,
INRGY-GL*TRAINING,IN-RGY GLOBAL TRAINING (NON-BILLABLE),F094,Admin,,,,
INRGY-GL*ADMIN,IN-RGY GLOBAL ADMIN (NON-BILLABLE),F094,Admin,,Intercos North America,,
INRGY-GL*SALES,IN-RGY GLOBAL BUSINESS (NON-BILLABLE),F094,Admin,,,,
INRGY-GL*EVENTS,IN-RGY  GLOBAL INT.EVENTS (NON-BILLABLE),F094,Admin,,,,
INTALENT*BENCH,INTALENT*BENCH,F057,Other (Intalent),,,,
INTALENT*SALES,INTALENT*SALES,F057,Other (Intalent),,,,
INTALENT*MEETING,INTALENT*MEETING,F057,Other (Intalent),,,,
INTALENT*MANAGEMENT,INTALENT*MANAGEMENT,F057,Other (Intalent),,,,
INTALENT*TRAINING,INTALENT*TRAINING,F057,Other (Intalent),,,,
INTALENT*LEAVE,INTALENT*LEAVE,F057,Other (Intalent),,,,
INTALENT*SICKNESS,INTALENT*SICKNESS,F057,Other (Intalent),,,,
INTALENT*ADMIN,INTALENT*ADMIN,F057,Other (Intalent),,,,
INTALENT*BANK_HOLIDAY,INTALENT*BANK HOLIDAY,F057,Other (Intalent),,,,
INTALENT*ABSENCES,INTALENT*ABSENCES NO PAYROLLL,F057,Other (Intalent),,,,
INTALENT*TRAVEL_TIME,INTALENT*TRAVEL_TIME,F057,Other (Intalent),,,,
INTALENT*MATERNITY,INTALENT*MATERNITY,F057,Other (Intalent),,,,
INTLT*REFACT-INTERET-CC,INTALENT REFACT-INTERET-CC,F057,Other (Intalent),,,,
INTALENT*NEXT,INTALENT*NEXT,F057,Other (Intalent),,,,
INTALENT*EVENTS,INTALENT*EVENTS,F057,Other (Intalent),,,,
INTALENT*RECRUITING,INTALENT*RECRUTING,F057,Other (Intalent),,,,
INTALENT*HR_PAIE,INTALENT*HR_PAIE,F057,Other (Intalent),,,,
INTALENT*EVENTS_SEMINAR,INTALENT*EVENTS_SEMINAR,F057,Other (Intalent),,,,
INTALENT*RESOLUTE,INTALENT RESOLUTE PROJECT,F057,Other (Intalent),,,,
INTALENT*HRPI,INTALENT WORKS HRPI CORERSTONE,F057,Other (Intalent),,,,
INTALENT*HRPI_EURO_ACCUP,INTALENT WORKS HRPI_EURO_ACCUP,F057,Other (Intalent),,,,
INTALENT*HRPI_CS_EUROVIA,INTALENT WORKS HRPI_CS_FORM EUROVIA,F057,Other (Intalent),,,,
INTALENT*HRPI_SANOFI_BLI,INTALENT WORKS HRPI SANOFI BLI,F057,Other (Intalent),,,,
INTLT*HRPI_LEON_CORNER,INTALENT WORKS HRPI LEON GROSS CORNER,F057,Other (Intalent),,,,
INTLT*HRPI_AMF_CORNER,INTALENT WORKS HRPI AMF CORNER,F057,Other (Intalent),,,,
INTALENT*AVENUEHR,INTALENT WORKS AVENUE HR,F057,Other (Intalent),,,,
INTALENT*AVHR_PJCCI,INTALENT WORKS AVHRC PJCCI,F057,Other (Intalent),,,,
INTALENT*AVHR_PJCCI_ADMI,INTALENT WORKS AVHRC PJCCI ADMIN,F057,Other (Intalent),,,,
INT*HRP_CAN_SOFTCHOICE,INTALENT W/ HRP CANADA Softchoice,F057,Other (Intalent),,,,
INTALENT*HRPC_WOODB_ADM,INTALENT W/ HRPC WOODBRIDGE ADMIN AMES,F057,Other (Intalent),,,,
INTALENT*HRPC_NORTHR_ADM,INTALENT W/ HRPC NORTHRIVER AMES ADMIN,F057,Other (Intalent),,,,
INTALENT*HRPC_SOFTC_ADM,INTALENT W/ HRPC SOFTCHOICE AMES ADMIN,F057,Other (Intalent),,,,
INTALENT*HRPC_MARTIN_ADM,INTALENT W/ HRPC MARTINREA ADMIN AMES,F057,Other (Intalent),,,,
INTALENT*HRPC_KNIGHT_P2,INTALENT w/ HRPC KNIGHT SF PHASE 2,F057,Other (Intalent),,,,
INTALENT*HRPC_SOFTC_MPS,INTALENT W/ HRPC SOFTCHOICE MPS,F057,Other (Intalent),,,,
INTALENT*HRPC_NRM_ECP_P1,INTALENT W/ HRPC_NRM_ECP_P1,F057,Other (Intalent),,,,
INTALENT*HRPC_NRM_ECP_P2,INTALENT W/ HRPC_NRM_ECP_P2,F057,Other (Intalent),,,,
INTALENT*HRPC_ALSTOM,INTALENT W/ HRPC ALSTOM,F057,Other (Intalent),,,,
INTALENT*HRPC_PCL,INTALENT W/ HRPC PCL,F057,SAP/SF CA,Project,Intercos North America,Canada,Mathieu
INTALENT*HRPC_METRO_SUP,INTALENT W/ HRPC METRO SUPPLY CHAIN,F057,Other (Intalent),,,,
INTALENT*HRPC_AGLC,INTALENT W/ HRPC AGLC,F057,Other (Intalent),,,,
INTALENT*HRPC_SOFTC_AMS,INTALENT W/ HRPC SOFTCHOICE ams,F057,Other (Intalent),,,,
INTALENT*HRPC_PROCOM_PWC,INTALENT W/ HRPC PROCOM PWC,F057,Other (Intalent),,,,
INTLT*HRPC_NORTHR_AMES,INTALENT W/ HRPC NORTHRIVER AMES,F057,Other (Intalent),AMS,,,
INTLT*HRPC_SASKPOWER_AM,INTLT W/ HRPC_SASKPOWER_AMES,F057,SAP/SF CA,AMS,Intercos North America,Canada,
INTALENT*HRPC_NRM_WFS,INTALENT W/ HRPC_NRM_WFS,F057,Workforce,,,,
INTLT*HRPC_SASKPOWER_WFS,INTLT W/ HRPC_SASKPOWER_WFS,F057,Workforce,AMS,Intercos North America,Canada,
INTLT*HRPC_IMP_SOW2,INTLT W/ HRPC_IMP SOW 2,F057,Other (Intalent),,,,
INTLT*HRPC_SASKPOWER_WBK,INTLT W/ HRPC_SASKPOWER_WOORKBOOKS,F057,Other (Intalent),AMS,Intercos North America,Canada,
INTLT*HRPC_SASKPOWER_ORG,INTLT W/ HRPC_SASKPOWER_ORG_CHANGES,F057,Other (Intalent),AMS,Intercos North America,Canada,
INTALENT*HRPC_LION_SOW1,INTLT W/ HRPC_LION_SOW1,F057,Other (Intalent),,,,
INTALENT*HRPC_LION_ELEC,INTALENT W/ HRPC LION ELECTRIC PROJECT,F057,SAP/SF CA,Project,Intercos North America,Canada,Mathieu
INTLT*HRPC_SOFTTEK_SUP,INTALENT W/ HRPC SOFTTEK UP,F057,Other (Intalent),,,,
INTLT*HRPC_ADMIN,INTALENT W/ HRPC ADMIN,F057,Other (Intalent),,,,
INTLT*HRPC*NETJETS_WORK,INTALENT W/ HRPC NETJETS WORK,F057,Other (Intalent),,,,
INTLT*HRPC_IMP_SOW2_EXTE,INTLT*HRPC_IMP_SOW2_EXTE,F057,Other (Intalent),,,,
INTLT*HRPC*IMPGROUP_AMES,INTALENT W/ HRPC IMPGROUP AMES,F057,Other (Intalent),AMS,Intercos North America,Canada,Mathieu
INTALENT*HRPC_BCFSA,INTALENT W/ HRPC BCFSA,F057,Other (Intalent),,,,
INTLT*HRPC*CASCADE_AMES,INTALENT W/ HRPC CASCADE AMES,F057,Other (Intalent),AMS,,,
INT*HRPC_LION_EL_EC_SUPP,INTALENT W/ HRPC LION EL EC SUPP,F057,Other (Intalent),,,,
INT*HRPC_LION_EL_TIME_CA,INTALENT W/ HRPC LION EL TIME CA,F057,Other (Intalent),,,,
INT*HRPC_LION_EL_TIME_US,INTALENT W/ HRPC LION EL TIME PROJ USA,F057,Other (Intalent),,,,
INT*HRPC_LION_EL_PAY_CAN,INTALENT W/ HRPC LION PAYROLL CANADA,F057,Other (Intalent),,,,
