Project definition,WBS element,Name,Profit center (BU),Company code,Company name,Revenue Type,Countries (End Client),Prov/State (End Client),Direct/Ind./Interco,Client Type (Sales Commissions),Sales Rep,% Commission,T&M / FIXED,Currency,Backlog/Pipeline,%,Amount in local currency,Posting Date,Scenario
GROUPIN-RGY*WORKS,INRGY*EXA*APPLIED_WD_AMS,INRGY EXASERV APPLIED WD AMS,Workday,F095,GROUP IN-RGY CONSULTING,AMS,USA,US (all states),Intercos North America,Net New services,Mathieu,,T&M,CAD,Backlog,,2745.03,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F084*HALMA AMS,F095*F084*HALMA AMS,Workday,F095,GROUP IN-RGY CONSULTING,AMS,EUROPE,EUROPE,Intercos Outside NA,Net New services,Mathieu,,T&M,CAD,Backlog,,116.79,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037* COOP MVP CR,F095*F037* COOP MVP CR,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,Project,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,9237.05,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*BRAM RCM ONB,F095*F037*Bram RCM ONB,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,Project,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,4622.74,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F055*TURNER T&A,F095*F055*Turner T&A,Workforce,F095,GROUP IN-RGY CONSULTING,Project,USA,US (all states),Intercos North America,Net New services,Mathieu,,T&M,CAD,Backlog,,9985.37,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*VDL AMS RCM,F095*F037*VDL AMS RCM,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,1286.93,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*BISCUIT LEC,F095*F037*Biscuit Lec,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,837.65,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*UFA*COMP VP,F095*F037*UFA*COMP VP,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,Project,Canada,ON,Intercos North America,Existing Services,,,T&M,CAD,Backlog,,452.68,2025-11-01,Actual
GROUPIN-RGY*PROJECT,UNI*AMS INPASS 25,UNI*AMS INPASS 25,UKG,F095,GROUP IN-RGY CONSULTING,AMS,Canada,QC,Direct customer,Existing Services,Yvan F.,,FIXED PRICE,CAD,Backlog,,232.0,2025-11-01,Actual
GROUPIN-RGY*PROJECT,UNI*AMS UKG,UNI*AMS UKG,UKG,F095,GROUP IN-RGY CONSULTING,AMS,Canada,QC,Direct customer,Existing Services,Yvan F.,,BANK OF HOURS,CAD,Backlog,,812.0,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*AURORA_SF LMS,F095*F037*AURORA_SF LMS,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,Project,Canada,ON,Intercos North America,Existing Services,,,T&M,CAD,Backlog,,2242.85,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*AURORA_SF ONB,F095*F037*AURORA_SF ONB,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,Project,Canada,ON,Intercos North America,Existing Services,,,T&M,CAD,Backlog,,6150.59,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F003*ETEX,F095*F003*Etex,Workforce,F095,GROUP IN-RGY CONSULTING,Project,EUROPE,EUROPE,Intercos Outside NA,Net New services,Mathieu,,T&M,CAD,Backlog,,19807.0,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*LONDONHYDROAMS,F095*F037*LondonHydro AMS,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,Mathieu,,T&M,CAD,Backlog,,346.72,2025-11-01,Actual
GROUPIN-RGY*WORKS,INRGY*WDFR_KYRIBA_OE,INRGY*WDFR_KYRIBA_OE,Workday,F095,GROUP IN-RGY CONSULTING,Project,EUROPE,EUROPE,Intercos Outside NA,0,0,,0,CAD,Backlog,,1099.04,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*MELOCHE*P3,F095*F037*MELOCHE*P3,Workday,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,12159.25,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*RMWB*HRPC_IMPL,F095*F037*RMWB*HRPC_IMPL,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,Project,Canada,ON,Intercos North America,Existing Services,,,T&M,CAD,Backlog,,1208.7,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*MAG*SF AMS,F095*F037*MAG*SF AMS,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Net New services,,,T&M,CAD,Backlog,,862.76,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F043*QUANTUM_ENE,F095*F043*QUANTUM_ENE,Workday,F095,GROUP IN-RGY CONSULTING,Project,LATAM,LATAM,Intercos North America,0,Mathieu,,T&M,CAD,Backlog,,1000.97,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*SEAWAY*ONB 20,F095*F037*Seaway*ONB 20,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,16897.77,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*MAG*SF_T&M,F095*F037*MAG*SF_T&M,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Net New services,,,T&M,CAD,Backlog,,-233.43,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*BCT*AMS Y2527,F095*F037*BCT*AMS Y2527,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,QC,Intercos North America,Existing Services,Patrice B.,,FIXED PRICE,CAD,Backlog,,818.48,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*DISCO*SF IMP,F095*F037*Disco*SF IMP,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,Existing Services,,,T&M,CAD,Backlog,,46051.51,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*GLC,F095*F086*GLC,Workforce,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,1112.38,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*FGF WFS T&A,F095*F086*FGF WFS T&A,Workforce,F095,GROUP IN-RGY CONSULTING,Project,Canada,ON,Intercos North America,0,0,,0,CAD,Backlog,,7451.59,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*CANDU*LMS IMP,F095*F037*Candu*LMS IMP,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,Project,Canada,ON,Intercos North America,Existing Services,,,FIXED PRICE,CAD,Backlog,,8802.52,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*TALAN*HFR TGF,F095*F037*TALAN*HFR TGF,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,1473.86,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*COOP MVP CR,F095*F037*COOP MVP CR,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,197.18,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*ESFOX_AMES,F095*F037*ESFOX_AMES,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Intercos North America,Existing Services,,,,CAD,Backlog,,2049.71,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*LOOKOUT*EC CPI,F095*F037*Lookout*EC CPI,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,3676.82,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*TBRHSC*SOW3,F095*F086*TBRHSC*SOW3,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,175.64,2025-11-01,Actual
GROUPIN-RGY*PROJECT,VHN*WFM ENHANCE MIGR.,VHN*WFM enhance migr.,UKG,F095,GROUP IN-RGY CONSULTING,Project,Canada,NS,Direct customer,Net New services,Mathieu,,T&M,CAD,Backlog,,41790.0,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F055*SIMPLOT*AMS SF,F095*F055*Simplot*AMS SF,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,10180.95,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F055*CHECKERS*AMS,F095*F055*Checkers*AMS,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,155.66,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F055*CHECK*INPASS,F095*F055*CHECK*INPASS,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,155.66,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F055*CHECKERS*ONB20,F095*F055*CHECKERS*ONB20,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,14823.64,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*DUQ*AMS_SOW3,F095*F086*DUQ*AMS_SOW3,Workforce,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,15583.0,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*DUQ*REP_SOW2,F095*F086*DUQ*REP_SOW2,Workforce,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,2626.23,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*BASIN_SOW1,F095*F086*Basin_SOW1,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,9762.1,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*SAPUTO*CA_SOW1,F095*F086*Saputo*CA_SOW1,Workforce,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,2300.56,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*GCC_SOW1,F095*F086*GCC_SOW1,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,3905.22,2025-11-01,Actual
GROUPIN-RGY*PROJECT,WJT*AMS UKGC INPASS,WJT*AMS UKGC INPASS,UKG,F095,GROUP IN-RGY CONSULTING,AMS,Canada,ON,Direct customer,Net New services,Mathieu,,FIXED PRICE,CAD,Backlog,,525.0,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*VWAMS2526,F095*F086*VWAMS2526,Workforce,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,746.5,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F037*PJCCI_AMES,F095*F037*PJCCI_AMES,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,AMS,,,Intercos North America,,,,,CAD,Backlog,,638.58,2025-11-01,Actual
GROUPIN-RGY*WORKS,F095*F086*LERNERS*AMS_S2,F095*F086*Lerners*AMS_S2,SAP/SF CA,F095,GROUP IN-RGY CONSULTING,,,,Intercos North America,,,,,CAD,Backlog,,585.13,2025-11-01,Actual
GROUPIN-RGY*PROJECT,ZAD*UNIFI COMMISSION,ZAD*Unifi Commission,UKG,F095,GROUP IN-RGY CONSULTING,Licence,Canada,QC,Indirect (Partners),Existing Services,Mathieu,,FIXED PRICE,CAD,Backlog,,5704.19,2025-11-01,Actual
HALTON,HALTON*AMES,HALTON REGION - AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,1200.0,2025-11-01,Actual
EXASERV_US*WORKS,F055*F095*CCC*COO SUP,F055*F095*CCC*COO Sup,SAP/SF US,F055,HRPATH USA,AMS,USA,USA,Intercos North America,0,0,,0,USD,Backlog,,2942.97,2025-11-01,Actual
EXASERV_US*WORKS,F055*F095*ENU*AMS SF,F055*F095*ENU*AMS SF,SAP/SF US,F055,HRPATH USA,AMS,USA,USA,Intercos North America,0,0,,0,USD,Backlog,,226.38,2025-11-01,Actual
EXASERV_US*WORKS,F055*F095*EXF*AMS SF,F055*F095*EXF*AMS SF,SAP/SF US,F055,HRPATH USA,AMS,USA,USA,Intercos North America,0,0,,0,USD,Backlog,,226.38,2025-11-01,Actual
EXASERV_US*WORKS,F055*F095*PBL*RCM,F055*F095*PBL*RCM,SAP/SF US,F055,HRPATH USA,Project,USA,USA,Intercos North America,Net New services,Patrice B. 2%,,T&M,USD,Backlog,,1584.67,2025-11-01,Actual
HEC_MONTREAL*INTALENT,HEC_MONTREAL*PROJECT,INTALENT HEC_MONTREAL PROJECT,Other (Intalent),F057,In Talent Solutions,Project,Canada,ON,Direct customer,0,Mathieu,,0,CAD,Backlog,,742.5,2025-11-01,Actual
HRPC*CITY_PETERBOROUGH,HRPC*CITY_PETERBOROUGH,HRP CANADA CITY PETERBOROUGH,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,350.0,2025-11-01,Actual
HRPC*INTER_PIPELINE_AMES,HRPC*INTER_PIPELINE_AMES,HRPC INTER PIPELINE AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,9000.0,2025-11-01,Actual
HRPC*PROJECT,BRAMPTON*RCM ONB,Brampton*RCM ONB,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,Existing Services,Fredo,,FIXED PRICE,CAD,Backlog,,25900.0,2025-11-01,Actual
HRPC*PROJECT,UFA*COMP VP,UFA*COMP VP,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,AB,Direct customer,Existing Services,Dan Whitmarsh,,T&M,CAD,Backlog,,7462.5,2025-11-01,Actual
HRPC*PROJECT,HRPC*DOMTAR_UKG,HRPC*DOMTAR_UKG,UKG,F037,HR Path Canada Inc.,Project,Canada,0,Indirect (Partners),Existing Services,Fredo,,T&M,CAD,Backlog,,54690.0,2025-11-01,Actual
HRPC*PROJECT,HRPC*COOP MVP CR,HRPC*COOP MVP CR,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,53906.5,2025-11-01,Actual
HRPC*PROJECT,TALAN*HFR TGF,Talan*HFR TGF,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,2625.0,2025-11-01,Actual
HRPC*PROJECT,LOOKOUT*ONB 20,Lookout*ONB 20,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,Existing Services,Dan Whitmarsh,,T&M,CAD,Backlog,,4350.0,2025-11-01,Actual
HRPC*PROJECT,LIVINGSTON*SUCC ONB2,Livingston*SUCC ONB2,SAP/SF CA,F037,HR Path Canada Inc.,Project,0,0,0,0,0,,0,CAD,Backlog,,21562.5,2025-11-01,Actual
HRPC*PROJECT,ERP*CBS SF ONB ECC,Precision ERP*CBS SF ONB ECC,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,Existing Services,Dan Whitmarsh,,T&M,CAD,Backlog,,13855.0,2025-11-01,Actual
HRP_CANADA*NB,HRP_CANADA*SALES,HRP_CANADA SALES,Workday,F037,HR Path Canada Inc.,Staff Aug.,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,3496.85,2025-11-01,Actual
HRPC*PROJECT,MAG*SF_AMS,MAG*SF AMS,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Net New services,Kateryna Voitukhova 2%,,T&M,CAD,Backlog,,15000.0,2025-11-01,Actual
HRPC*PROJECT,SEAWAY*ONB 20,Seaway*ONB 20,SAP/SF CA,F037,HR Path Canada Inc.,Project,,,,,,,,CAD,Backlog,,15044.3,2025-11-01,Actual
HRPC*PROJECT,BCT*AMS Y2527,BCT*AMS Y2527,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,BC,Direct customer,Existing Services,Patrice B.,,FIXED PRICE,CAD,Backlog,,11219.34,2025-11-01,Actual
HRPC*PROJECT,BCT*LICENCE*HRP_CAN,BCT*LICENCE*HRP_CAN,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,BC,Direct customer,Licences,Patrice B.,,FIXED PRICE,CAD,Backlog,,11812.83,2025-11-01,Actual
HRPC*PROJECT,MAG*SF_T&M,MAG*SF_T&M,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Net New services,Kateryna Voitukhova 2%,,T&M,CAD,Backlog,,3100.0,2025-11-01,Actual
HRPC*PROJECT,DISCOVERY*SF IMP,Discovery*SF IMP,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,Existing Services,Kateryna Voitukhova 2%,,T&M,CAD,Backlog,,68279.23,2025-11-01,Actual
HRPC*PROJECT,DISCOVERY*LICENCES*HRPC,DISCOVERY*LICENCES*HRPC,SAP/SF CA,F037,HR Path Canada Inc.,Licence,Canada,ON,Direct customer,Existing Services,Kateryna Voitukhova 2%,,T&M,CAD,Backlog,,31380.0,2025-11-01,Actual
HRPC*PROJECT,CANDU*LMS IMP,Candu*LMS IMP,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,ON,Direct customer,Existing Services,Kateryna Voitukhova 2%,,FIXED PRICE,CAD,Backlog,,48062.5,2025-11-01,Actual
HRPC*PROJECT,LOOKOUT*EC CPI,Lookout*EC CPI,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Dan Whitmarsh,,T&M,CAD,Backlog,,11480.0,2025-11-01,Actual
HRPC*PROJECT,CITYKITCHENER*AMS,CityKitchener*AMS,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,ON,Direct customer,Existing Services,Kateryna Voitukhova 3%,,FIXED PRICE,CAD,Backlog,,15000.0,2025-11-01,Actual
HRPC*PROJECT,TRANSMOUNTAIN*STAFF AUG,TransMountain*Staff AUG,SAP/SF CA,F037,HR Path Canada Inc.,Staff Aug.,Canada,ON,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,1155.0,2025-11-01,Actual
HRPC*PROJECT,PCL*STAFFAUG,PCL*StaffAUG,SAP/SF CA,F037,HR Path Canada Inc.,Staff Aug.,,,,,,,,CAD,Backlog,,20692.5,2025-11-01,Actual
HRPC*PROJECT,NORQUEST*AMES T&M,NORQUEST*AMES T&M,SAP/SF CA,F037,HR Path Canada Inc.,AMS,,,,,,,,CAD,Backlog,,1850.0,2025-11-01,Actual
HRPC*PROJECT,WOODBRIDGE*CPI24,WOODBRIDGE*CPI24,SAP/SF CA,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,-3960.0,2025-11-01,Actual
HRPC*PROJECT,WOODBRIDGE*CPI150,WOODBRIDGE*CPI150,SAP/SF CA,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,-23760.0,2025-11-01,Actual
HRPC*PROJECT,WOODBRIDGE*INT SUP,WOODBRIDGE*INT SUP,SAP/SF CA,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,-4950.0,2025-11-01,Actual
HRPC*PROJECT,TALAN*MPAC*SUP PY,TALAN*MPAC*SUP PY,SAP/SF CA,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,165.0,2025-11-01,Actual
HRPC*PROJECT,LIVINGSTON*COMP SUPPORT,Livingston*Comp Support,SAP/SF CA,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,45.0,2025-11-01,Actual
HRPC*PROJECT,PROCOM*PWC*OPG SF,PROCOM*PWC*OPG WFS,SAP/SF CA,F037,HR Path Canada Inc.,Staff Aug.,Canada,ON,Direct customer,Existing Services,Steve,,T&M,CAD,Backlog,,6650.0,2025-11-01,Actual
HRPC*RESOLUTE,HRPC*RESOLUTE,HR PATH CANDA RESOLUTE PROJECT,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,244418.81,2025-11-01,Actual
HRPC_ALBERTAINNOVATES*AM,HRPC_ALBERTAINNOVATES*AM,HRP CANADA ALBERTAINNOVATE AMES,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,AB,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,300.0,2025-11-01,Actual
HRP_CANADA*NB,HRP_CANADA*EVENTS,HRP_CANADA Events Group,Admin,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,3017.75,2025-11-01,Actual
HRP_CANADA*NB,HRP_CANADA*TRAINING,HRP_CANADA TRAINING,Other (Intalent),F037,HR Path Canada Inc.,Staff Aug.,Canada,ON,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,25993.87,2025-11-01,Actual
HRP_CANADA*NB,HRP_CANADA*ADMIN,HRP_CANADA ADMIN,SAP/SF CA,F037,HR Path Canada Inc.,Staff Aug.,USA,US (all states),Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,30180.31,2025-11-01,Actual
HRP_CANADA*NB,HRP_CANADA*NB,HRP_CANADA NON BILLABLE,Dayforce,F037,HR Path Canada Inc.,Dayforce,USA,0,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,20169.34,2025-11-01,Actual
HRP_CANADA*NB,HRP_CANADA*PRESALES,HRP_CANADA PRE SALES,Admin,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,2110.54,2025-11-01,Actual
HRP_CANADA*NB,HRP_CANADA*BENCH,HRP_CANADA BENCH,Admin,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,5780.97,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*HRP_GOOGLE,HRPC W/ HRP GOOGLE,Workday,F037,HR Path Canada Inc.,Staff Aug.,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,9327.23,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*HRP_INTERNAL_WORK,HRP CANADA w/ HRP INTERNAL WORK,Admin,F037,HR Path Canada Inc.,,,,,,,,,CAD,Backlog,,503.83,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*HRPUK*KBC_PROJ_NB,HRPCANADA*HRPUK*KBC_PROJECT_NB,Workday,F037,HR Path Canada Inc.,Project,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,1429.72,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*HRPUK_WD*SANOFI_AMS,HRPC*HRPUK_WD*SANOFI_AMS,Workday,F037,HR Path Canada Inc.,AMS,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,3336.02,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*HRPWD*KYRIBA_PROJET,HRP CANADA w/ HRPWDFR KYRIBA PROJET,Workday,F037,HR Path Canada Inc.,Project,EUROPE,EUROPE,Intercos Outside NA,Existing Services,Fredo,,T&M,CAD,Backlog,,1702.05,2025-11-01,Actual
HRP_CANADA*WORK,HRP_CAN*EXA_CURIUM_BPO,HRP_CANADA W/ EXA_CURIUM_BPO,BPO,F037,HR Path Canada Inc.,BPO,USA,US (all states),Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,1695.18,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*HRPUS*TURNER,HRP CANADA w/ HRP_US TURNER,Workforce,F037,HR Path Canada Inc.,Project,USA,US (all states),Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,9982.52,2025-11-01,Actual
HRP_CANADA*WORK,F037*F095*MAM*AMS SAP,F037*F095*MAM*AMS SAP,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,QC,Intercos North America,Existing Services,Fredo,,0,CAD,Backlog,,1349.14,2025-11-01,Actual
HRP_CANADA*WORK,F037*F095*VON*AMS SAP,F037*F095*VON*AMS SAP,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,QC,Intercos North America,Existing Services,Fredo,,0,CAD,Backlog,,10199.48,2025-11-01,Actual
HRP_CANADA*WORK,F037*F095*CDS*AMS SF,F037*F095*CDS*AMS SF,SAP/SF CA,F037,HR Path Canada Inc.,AMS,Canada,QC,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,4189.86,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*INRGY_TEC,HRP_CANADA W/ IN_RGY TEC,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,3099.48,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*INRGY*DOLLARCITY,HRPC*INRGY*DOLLARCITY,SAP/SF CA,F037,HR Path Canada Inc.,,,,Intercos North America,,,,,CAD,Backlog,,4368.47,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*INRGY*VTR*TIRH P1,HRPC*INRGY*VTR*TIRH P1 SAPSF,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Intercos North America,Existing Services,Patrice B.,,FIXED PRICE,CAD,Backlog,,10887.54,2025-11-01,Actual
HRP_CANADA*WORK,F037*F095*METRO SF,F037*F095*METRO SF,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,1676.55,2025-11-01,Actual
HRP_CANADA*WORK,F037*F095*DOLCITYLSVGA,F037*F095*Dollar City LSVGA,SAP/SF CA,F037,HR Path Canada Inc.,Project,Canada,QC,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,1161.3,2025-11-01,Actual
HRP_CANADA*WORK,HRPC*TIG*COMMSCOPE_ONB20,HRPC*TIG*COMMSCOPE_ONB20,SAP/SF CA,F037,HR Path Canada Inc.,Project,USA,US (all states),Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,2379.63,2025-11-01,Actual
HRPC*PROJECT,MELOCHE*AMS WD ADMIN,MELOCHE*AMS WD ADMIN,Workday,F037,HR Path Canada Inc.,AMS,Canada,QC,Direct customer,Existing Services,Fredo,,T&M,CAD,Backlog,,475.0,2025-11-01,Actual
HRP_CANADA*WORK,F037*F113*SAVE*A*LOT*P,F037*F113*SAVE*a*LOT*P,Dayforce,F037,HR Path Canada Inc.,Dayforce,USA,0,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,2356.2,2025-11-01,Actual
HRP_CANADA*WORK,F037*F113*GRANITE*YMCA*P,F037*F113*GRANITE*YMCA*P,Dayforce,F037,HR Path Canada Inc.,Dayforce,USA,0,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,610.88,2025-11-01,Actual
HRP_CANADA*WORK,F037*F086*ARK*GER_SOW1,Aramark Global/Germany WFS SOW 1,Workforce,F037,HR Path Canada Inc.,Staff Aug.,Canada,ON,Intercos North America,Existing Services,Fredo,,T&M,CAD,Backlog,,8592.96,2025-11-01,Actual
